358,"(51.4901885, -0.1318146)"
359,
360,"(55.85893979999999, -4.250117299999999)"
361,"(52.200934, 0.104025)"
362,"(48.2575848, 124.7792303)"
363,"(48.2575848, 124.7792303)"
364,
365,
366,"(-10.4785921, -37.5656548)"
367,"(52.2309661, 0.147986)"
368,
369,"(59.4004054, 24.6544359)"
370,"(50.7252964, -3.532515)"
371,
372,"(52.4030054, -1.5047486)"
373,"(55.9309486, -3.1859102)"
374,"(50.8537579, -1.1231658)"
375,
376,"(53.079876, -2.5128706)"
377,"(52.683094, -0.8915514999999999)"
378,"(52.4144768, -4.0684737)"
379,
380,"(51.5199607, -0.1243552)"
381,"(52.0435525, -0.7608716999999999)"
382,"(48.2575848, 124.7792303)"
383,"(53.6862752, -1.9376548)"
384,"(53.45969669999999, -2.226642)"
385,"(48.2575848, 124.7792303)"
386,"(53.3990831, -3.0361787)"
387,"(50.90768310000001, -1.4069793)"
388,"(51.5180485, -0.1352728)"
389,"(51.51963790000001, -0.1413626)"
390,"(52.4162433, -4.0840999)"
391,"(51.5112817, -0.8077879)"
392,"(52.3526238, 0.1770673)"
393,
394,"(51.5233439, -0.1026797)"
395,"(52.4211343, -1.9608273)"
396,"(48.2575848, 124.7792303)"
397,"(55.9534271, -3.209223600000001)"
398,
399,"(55.9060138, -4.3218489)"
400,"(52.9535671, -0.9513499000000001)"
401,"(48.2575848, 124.7792303)"
402,"(52.8846479, -2.1395607)"
403,
404,"(52.0931411, -1.4753283)"
405,"(51.268153, -0.6596656)"
406,"(48.2575848, 124.7792303)"
407,"(51.5796152, -1.7627153)"
408,
409,
410,"(51.7220013, -0.1978948)"
411,"(45.3558662, 24.7989776)"
412,"(53.3869847, -1.3504678)"
413,"(53.3973801, -2.063154)"
414,"(51.537279, -0.1344292)"
415,"(48.2575848, 124.7792303)"
416,"(48.2575848, 124.7792303)"
417,
418,
419,"(50.83392380000001, -0.1385428)"
420,"(54.8502211, -1.8381055)"
421,"(49.9086716, 11.4260125)"
422,"(54.1793102, -0.5250281)"
423,
424,"(51.59084300000001, -2.9977736)"
425,"(51.4470617, -2.6222561)"
426,
427,"(51.242575, -0.6175873)"
428,"(51.6189707, -3.8229731)"
429,
430,"(51.66675009999999, -4.0578126)"
431,"(51.64838779999999, 0.6048245999999999)"
432,"(51.5125063, -0.1407594)"
433,
434,
435,"(51.4793384, -2.8032269)"
436,
437,"(48.2575848, 124.7792303)"
438,"(55.8746322, -4.273566)"
439,
440,"(53.38713010000001, -2.2971773)"
441,"(51.5023041, -0.1060355)"
442,
443,
444,"(52.40347260000001, -4.0435845)"
445,"(54.3888342, -5.7867351)"
446,"(52.9436948, -1.1930123)"
447,"(48.2575848, 124.7792303)"
448,"(51.7957057, -0.0581606)"
449,"(52.1979398, 0.1250871)"
450,"(48.2575848, 124.7792303)"
451,"(48.2575848, 124.7792303)"
452,"(51.0596954, -0.3210841)"
453,"(53.3518062, -2.7336941)"
454,"(30.41, -91.17999999999999)"
455,"(48.2575848, 124.7792303)"
456,
457,"(51.8564254, -1.4297335)"
458,"(51.88422629999999, -0.2006723)"
459,"(51.5198117, -0.09391859999999999)"
460,"(54.48614629999999, -0.9828986000000001)"
461,"(48.2575848, 124.7792303)"
462,"(52.9555003, -1.1432387)"
463,"(51.5956447, -0.09885959999999999)"
464,"(53.4042295, -2.994412)"
465,"(52.1309207, 0.0904966)"
466,"(53.9640301, -1.0870906)"
467,"(52.23693780000001, -0.8994911999999998)"
468,
469,
470,"(53.1788626, -1.226642)"
471,"(48.2575848, 124.7792303)"
472,
473,"(51.8969005, -2.0765118)"
474,"(50.8763858, -1.2402714)"
475,
476,"(51.6252059, -0.5071886)"
